date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:58	34350/34350	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22862e-5c305926c8f85%22	https://pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	(from https://pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.3.4)
19:12:58	747545/747545	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260aac23e-b6819%22	https://pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg	(from https://pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.1)
19:12:58	34350/34350	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22862e-5c305926c8f85%22	https://pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot?	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400d41d.eot	(from https://pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.3.4)
19:12:58	13548/13548	---M--	200	added ('OK')	text/html	etag:%2234ec-5c305926c8f85%22	https://pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff2	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.html	(from https://pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.3.4)
19:12:58	16772/16772	---M--	200	added ('OK')	application/font-woff	etag:%224184-5c305926c8f85%22	https://pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.woff	(from https://pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.3.4)
19:12:58	34052/34052	---M--	200	added ('OK')	application/font-sfnt	etag:%228504-5c305926c8f85%22	https://pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.ttf	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.ttf	(from https://pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.3.4)
19:12:59	170/170	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2009%20Jun%202021%2017:12:59%20GMT	https://pube.finance/wp-content/plugins/bdthemes-element-pack/images/backgrounds/divider-icon.svg	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/bdthemes-element-pack/images/backgrounds/divider-icon.html	(from https://pube.finance/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit.css?ver=3.5.5)
19:13:00	144714/144714	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260aac23e-2354a%22	https://pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.svg	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.svg	(from https://pube.finance/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.3.4)
19:13:01	0/-1	---M--	500	error ('')			https://pube.finance/wp-content/plugins/bdthemes-element-pack/images/backgrounds/list-bullet.svg	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/bdthemes-element-pack/images/backgrounds/list-bullet.html	(from https://pube.finance/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit.css?ver=3.5.5)
19:13:01	0/-1	---M--	500	error ('')			https://pube.finance/wp-content/plugins/bdthemes-element-pack/images/backgrounds/form-datalist.svg	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/bdthemes-element-pack/images/backgrounds/form-datalist.html	(from https://pube.finance/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit.css?ver=3.5.5)
19:13:01	170/170	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2009%20Jun%202021%2017:13:01%20GMT	https://pube.finance/wp-content/plugins/bdthemes-element-pack/images/backgrounds/divider-icon.svg	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/bdthemes-element-pack/images/backgrounds/divider-icon.html	(from https://pube.finance/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit.css?ver=3.5.5)
19:13:01	0/-1	---M--	500	error ('')			https://pube.finance/wp-content/plugins/bdthemes-element-pack/images/backgrounds/list-bullet.svg	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/bdthemes-element-pack/images/backgrounds/list-bullet.html	(from https://pube.finance/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit.css?ver=3.5.5)
19:13:01	0/-1	---M--	500	error ('')			https://pube.finance/wp-content/plugins/bdthemes-element-pack/images/backgrounds/form-datalist.svg	D:/Crypto/Mes%20sites/PUBE/pube.finance/wp-content/plugins/bdthemes-element-pack/images/backgrounds/form-datalist.html	(from https://pube.finance/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit.css?ver=3.5.5)
